[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Tag[ view_template ] --END-- [ RunTime:0.001188s ]
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Tag[ view_parse ] --START--
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Run ParseTemplate Behavior [ RunTime:0.017282s ]
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017389s ]
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Tag[ view_filter ] --START--
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Run ContentReplace Behavior [ RunTime:0.000428s ]
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Run TokenBuild Behavior [ RunTime:0.000460s ]
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000218s ]
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Run ShowRuntime Behavior [ RunTime:0.000442s ]
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001714s ]
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Tag[ view_end ] --START--
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Run ShowPageTrace Behavior [ RunTime:0.000796s ]
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/Channel | INFO: Tag[ view_end ] --END-- [ RunTime:0.000897s ]
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/skin/images/allbg.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/skin/images/frame/search.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/skin/images/wbg.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-19T17:46:06+08:00 ] /index.php/Admin/skin/images/tbg.gif | ERR: (ThinkException) 无法加载模块Skin
[ 2012-10-19T17:46:26+08:00 ] /index.php/Admin/Channel | INFO: Tag[ route_check ] --START--
[ 2012-10-19T17:46:26+08:00 ] /index.php/Admin/Channel | INFO: Run CheckRoute Behavior [ RunTime:0.001030s ]
[ 2012-10-19T17:46:26+08:00 ] /index.php/Admin/Channel | INFO: Tag[ route_check ] --END-- [ RunTime:0.001170s ]
[ 2012-10-19T17:46:26+08:00 ] /index.php/Admin/Channel | INFO: Tag[ app_begin ] --START--
[ 2012-10-19T17:46:26+08:00 ] /index.php/Admin/Channel | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000652s ]
[ 2012-10-19T17:46:26+08:00 ] /index.php/Admin/Channel | INFO: Run CheckLang Behavior [ RunTime:0.002456s ]
[ 2012-10-19T17:46:26+08:00 ] /index.php/Admin/Channel | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003295s ]
[ 2012-10-19T17:46:26+08:00 ] /index.php/Admin/Channel | SQL: SHOW COLUMNS FROM `my_category` [ RunTime:0.002467s ]
[ 2012-10-19T17:46:26+08:00 ] /index.php/Admin/Channel | SQL: SELECT * FROM `my_category`  [ RunTime:0.000693s ]
